no,baris,word,wordTotal,n,tf,idf,tf_idf
505,731,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
506,733,pada,38,1,0.026315789,5.883322388,0.154824273
507,735,dan,393,1,0.002544529,5.883322388,0.014970286
508,737,rt,464,1,0.002155172,5.883322388,0.012679574
509,738,malaysia,125,1,0.008,5.883322388,0.047066579
510,739,dan,393,1,0.002544529,5.883322388,0.014970286
511,743,sudah,152,1,0.006578947,5.883322388,0.038706068
512,746,untuk,271,1,0.003690037,5.883322388,0.021709677
513,751,negara,11,1,0.090909091,5.883322388,0.53484749
514,752,bagi,70,1,0.014285714,5.883322388,0.084047463
515,755,sejumlah,14,1,0.071428571,5.883322388,0.420237313
516,756,program,41,1,0.024390244,5.883322388,0.143495668
517,757,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
518,758,covid,328,1,0.00304878,5.883322388,0.017936959
519,759,booster,719,1,0.001390821,5.883322388,0.008182646
520,760,dki,16,1,0.0625,5.883322388,0.367707649
521,763,minyak,19,1,0.052631579,5.883322388,0.309648547
522,764,goreng,18,1,0.055555556,5.883322388,0.326851244
523,769,di,380,1,0.002631579,5.883322388,0.015482427
524,771,satga,33,1,0.03030303,5.883322388,0.178282497
525,772,covid,328,1,0.00304878,5.883322388,0.017936959
526,773,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
527,774,booster,719,1,0.001390821,5.883322388,0.008182646
528,775,masih,29,1,0.034482759,5.883322388,0.202873186
529,778,masyarakat,125,1,0.008,5.883322388,0.047066579
530,780,vaksin,244,1,0.004098361,5.883322388,0.024111977
531,781,rt,464,1,0.002155172,5.883322388,0.012679574
532,783,sd,11,1,0.090909091,5.883322388,0.53484749
533,784,di,380,1,0.002631579,5.883322388,0.015482427
534,787,kurang,24,1,0.041666667,5.883322388,0.245138433
535,788,dari,59,1,0.016949153,5.883322388,0.099717329
536,791,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
537,792,rt,464,1,0.002155172,5.883322388,0.012679574
538,793,penerbangan,73,1,0.01369863,5.883322388,0.080593457
539,794,ke,157,1,0.006369427,5.883322388,0.037473391
540,795,malaysia,125,1,0.008,5.883322388,0.047066579
541,796,sudah,152,1,0.006578947,5.883322388,0.038706068
542,797,dibuka,75,1,0.013333333,5.883322388,0.078444299
543,798,tapi,77,1,0.012987013,5.883322388,0.076406784
544,799,perlu,80,1,0.0125,5.883322388,0.07354153
545,800,diingat,73,1,0.01369863,5.883322388,0.080593457
546,801,bahwa,76,1,0.013157895,5.883322388,0.077412137
547,802,vaksin,244,1,0.004098361,5.883322388,0.024111977
548,803,indonesia,140,1,0.007142857,5.883322388,0.042023731
549,804,awal,74,1,0.013513514,5.883322388,0.079504357
550,805,banyak,76,1,0.013157895,5.883322388,0.077412137
551,806,yang,176,1,0.005681818,5.883322388,0.033427968
552,807,sinovac,115,1,0.008695652,5.883322388,0.051159325
553,808,berikut,97,1,0.010309278,5.883322388,0.060652808
554,809,ketentuan,72,1,0.013888889,5.883322388,0.081712811
555,810,rt,464,1,0.002155172,5.883322388,0.012679574
556,811,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
557,812,boost,19,1,0.052631579,5.883322388,0.309648547
558,813,tampaknya,16,1,0.0625,5.883322388,0.367707649
559,814,kurang,24,1,0.041666667,5.883322388,0.245138433
560,815,diminati,16,1,0.0625,5.883322388,0.367707649
561,816,warga,102,1,0.009803922,5.883322388,0.057679631
562,817,rt,464,1,0.002155172,5.883322388,0.012679574
563,818,umat,26,1,0.038461538,5.883322388,0.22628163
564,819,islam,28,1,0.035714286,5.883322388,0.210118657
565,820,diam,24,1,0.041666667,5.883322388,0.245138433
566,821,saat,47,1,0.021276596,5.883322388,0.125177072
567,822,nataru,24,1,0.041666667,5.883322388,0.245138433
568,823,ppkm,25,1,0.04,5.883322388,0.235332896
569,824,dihapus,24,1,0.041666667,5.883322388,0.245138433
570,825,desjan,24,1,0.041666667,5.883322388,0.245138433
571,826,imlek,24,1,0.041666667,5.883322388,0.245138433
572,827,china,24,1,0.041666667,5.883322388,0.245138433
573,828,beba,25,1,0.04,5.883322388,0.235332896
574,829,amp,49,1,0.020408163,5.883322388,0.120067804
575,830,tni,42,1,0.023809524,5.883322388,0.140079104
576,831,polri,43,1,0.023255814,5.883322388,0.136821451
577,832,jadi,79,1,0.012658228,5.883322388,0.074472435
578,833,babu,24,1,0.041666667,5.883322388,0.245138433
579,834,bersihkan,24,1,0.041666667,5.883322388,0.245138433
580,835,klente,24,1,0.041666667,5.883322388,0.245138433
581,836,anggota,38,1,0.026315789,5.883322388,0.154824273
582,837,koramil,47,1,0.021276596,5.883322388,0.125177072
583,839,melaksanakan,78,1,0.012820513,5.883322388,0.07542721
584,841,dengan,123,1,0.008130081,5.883322388,0.047831889
585,843,desa,37,1,0.027027027,5.883322388,0.159008713
586,844,dan,393,1,0.002544529,5.883322388,0.014970286
587,846,desa,37,1,0.027027027,5.883322388,0.159008713
588,848,tentang,17,1,0.058823529,5.883322388,0.346077788
589,850,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
590,851,serentak,71,1,0.014084507,5.883322388,0.082863696
591,854,penyebaran,11,1,0.090909091,5.883322388,0.53484749
592,855,virus,22,1,0.045454545,5.883322388,0.267423745
